complaint_id,student_id,hostel_id,complaint_text,category,subcategory,priority,ai_suggestion,status
CMP-2024-6499,STU-080,HST-035,Emergency exit blocked with boxes.,Safety/Security,Theft,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2025-5269,STU-158,HST-062,Bathroom mirror and sink are never cleaned.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2025-4187,STU-147,HST-050,Outsider came inside without permission.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Acknowledged
CMP-2024-4281,STU-120,HST-026,No place to dry clothes inside.,Other,General,Medium,Review student request and respond within 48 hours.,In Progress
CMP-2026-3897,STU-065,HST-067,Roommate's friends hang out in our room all the time.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2024-9021,STU-109,HST-025,My roommate never cleans his side.,Roommate Issue,Cleanliness,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-1076,STU-188,HST-011,Trash piled up near the entrance.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,Resolved
CMP-2024-1067,STU-003,HST-038,"Window latch broken, cannot close properly.",Maintenance,Door/Window,Low,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-2069,STU-166,HST-019,Door banging repeatedly.,Noise/Disturbance,Night Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2026-3192,STU-003,HST-014,"Bed frame creaking loudly, needs oiling.",Maintenance,AC,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-4460,STU-025,HST-010,Constant arguments with roommate.,Roommate Issue,Personal Space,High,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-5190,STU-010,HST-015,Cupboard door off its hinges.,Maintenance,Door/Window,Low,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2025-7230,STU-148,HST-055,Curfew time is too early for exam preparation.,Other,General,High,Review student request and respond within 48 hours.,Submitted
CMP-2026-9524,STU-199,HST-044,Bedsheets not changed for two weeks.,Cleanliness,Common Area,Medium,Schedule housekeeping to clean the area immediately.,Acknowledged
CMP-2024-9154,STU-082,HST-037,My phone went missing from study room.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,Submitted
CMP-2024-1645,STU-176,HST-051,Talking loudly in corridor after quiet hours.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-9095,STU-185,HST-013,Internet quota exhausted too quickly.,Other,Curfew,High,Review student request and respond within 48 hours.,Acknowledged
CMP-2025-5850,STU-077,HST-075,Fruit provided is rotten.,Food Quality,Spoilage/Poisoning,Low,Inspect kitchen and food storage; check hygiene.,Acknowledged
CMP-2026-6123,STU-162,HST-066,My laptop was stolen from room.,Safety/Security,Security Guard,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2025-8171,STU-133,HST-010,Cook refuses to serve extra roti.,Staff Behavior,Warden,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-7319,STU-148,HST-062,Feeling unsafe due to unverified visitors.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Resolved
CMP-2024-7816,STU-154,HST-015,Unexplained deduction from rent.,Billing/Payment Dispute,Deposit Refund,Low,Review charges with account; provide receipt.,In Progress
CMP-2026-3140,STU-020,HST-016,Warden asking for extra money for repairs.,Billing/Payment Dispute,Unexpected Fee,Low,Review charges with account; provide receipt.,Acknowledged
CMP-2024-9598,STU-073,HST-047,Security deposit not refunded after leaving.,Billing/Payment Dispute,Deposit Refund,High,Review charges with account; provide receipt.,Acknowledged
CMP-2024-8895,STU-154,HST-013,Door banging repeatedly.,Noise/Disturbance,External Noise,High,Warn the noisy party and enforce quiet hours.,Acknowledged
CMP-2026-8688,STU-117,HST-030,My stuff used without asking.,Roommate Issue,Personal Space,High,Mediate between roommates; offer room change if needed.,Resolved
CMP-2026-4648,STU-079,HST-011,Security deposit not refunded after leaving.,Billing/Payment Dispute,Overcharging,Medium,Review charges with account; provide receipt.,Submitted
CMP-2024-9166,STU-143,HST-009,No place to dry clothes inside.,Other,Curfew,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-9996,STU-142,HST-019,Security deposit not refunded after leaving.,Billing/Payment Dispute,Deposit Refund,High,Review charges with account; provide receipt.,Submitted
CMP-2025-6953,STU-112,HST-011,Water leakage from ceiling during rain.,Maintenance,Plumbing,High,Assign technician to fix the issue within 24 hours.,Acknowledged
CMP-2025-8414,STU-156,HST-029,"Fan regulator broken, fan running at full speed.",Maintenance,Electrical,Medium,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2025-9973,STU-134,HST-015,Cockroaches in Room 102.,Cleanliness,Room Cleaning,Low,Schedule housekeeping to clean the area immediately.,Resolved
CMP-2026-7704,STU-013,HST-071,I want to change my room.,Other,Room Change,Medium,Review student request and respond within 48 hours.,In Progress
CMP-2025-4122,STU-144,HST-052,Trash piled up near the entrance.,Cleanliness,Common Area,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2025-9260,STU-112,HST-006,Roommate uses my phone charger without permission.,Roommate Issue,Cleanliness,Medium,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-8912,STU-089,HST-069,Lunch rice was spoiled yesterday.,Food Quality,Portion Size,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-9259,STU-103,HST-013,Need permission to keep a bicycle inside.,Other,Suggestion,Low,Review student request and respond within 48 hours.,Acknowledged
CMP-2024-3263,STU-065,HST-073,Security guard uses offensive language.,Staff Behavior,Security,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-6657,STU-161,HST-037,Staff enters room without knocking.,Staff Behavior,Cleaner,Medium,Counsel the staff member; involve owner if repeated.,Acknowledged
CMP-2026-8870,STU-060,HST-073,Fruit provided is rotten.,Food Quality,Taste,Low,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2026-1927,STU-013,HST-041,Canteen staff not serving on time.,Staff Behavior,Cleaner,High,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-4342,STU-020,HST-007,Construction noise from next building all day.,Noise/Disturbance,Roommate Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-7371,STU-071,HST-008,My mattress is too old and uncomfortable.,Other,General,Low,Review student request and respond within 48 hours.,In Progress
CMP-2026-6122,STU-200,HST-001,"Party in neighboring room, can't sleep.",Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,In Progress
CMP-2025-4695,STU-006,HST-066,Curfew time is too early for exam preparation.,Other,General,Low,Review student request and respond within 48 hours.,In Progress
CMP-2024-9418,STU-137,HST-006,Roommate smokes in the room.,Roommate Issue,Noise,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-1092,STU-126,HST-045,Room not cleaned for 5 days.,Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-5934,STU-178,HST-055,My stuff used without asking.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-2117,STU-001,HST-018,Double charged for this month's rent.,Billing/Payment Dispute,Unexpected Fee,Medium,Review charges with account; provide receipt.,Resolved
CMP-2024-6437,STU-038,HST-059,No place to dry clothes inside.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-1144,STU-017,HST-048,Roommate brings food and leaves plates for days.,Roommate Issue,Guests,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2024-6258,STU-048,HST-050,Bedsheets not changed for two weeks.,Cleanliness,Common Area,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2025-9426,STU-150,HST-018,Canteen staff not serving on time.,Staff Behavior,Warden,High,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-3742,STU-124,HST-016,Need a warmer blanket for winter.,Other,Curfew,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2024-4368,STU-179,HST-011,I want to change my room.,Other,General,Low,Review student request and respond within 48 hours.,Submitted
CMP-2024-1889,STU-172,HST-046,I want to change my room.,Other,Curfew,Low,Review student request and respond within 48 hours.,Submitted
CMP-2025-7626,STU-044,HST-062,Fruit provided is rotten.,Food Quality,Hygiene,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-2036,STU-035,HST-074,Warden is very rude when approached.,Staff Behavior,Cleaner,Medium,Counsel the staff member; involve owner if repeated.,Acknowledged
CMP-2026-2417,STU-190,HST-071,AC not cooling properly in Room 284.,Maintenance,Other Maintenance,High,Assign technician to fix the issue within 24 hours.,Acknowledged
CMP-2024-7406,STU-158,HST-054,My phone went missing from study room.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-3316,STU-172,HST-072,Need permission to keep a bicycle inside.,Other,Room Change,Low,Review student request and respond within 48 hours.,Submitted
CMP-2025-4441,STU-177,HST-026,Room not cleaned for 4 days.,Cleanliness,Room Cleaning,Medium,Schedule housekeeping to clean the area immediately.,Resolved
CMP-2025-4183,STU-194,HST-035,Roommate uses my phone charger without permission.,Roommate Issue,Noise,Medium,Mediate between roommates; offer room change if needed.,Acknowledged
CMP-2026-2103,STU-149,HST-041,Trash piled up near the entrance.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-2639,STU-049,HST-045,Security guard often missing after 10 PM.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Acknowledged
CMP-2026-3496,STU-138,HST-026,Security guard often missing after 10 PM.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Acknowledged
CMP-2026-8145,STU-104,HST-055,Roommate uses my phone charger without permission.,Roommate Issue,Guests,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-2783,STU-091,HST-045,CCTV camera not working near entrance.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,In Progress
CMP-2024-2235,STU-158,HST-058,Food is cold when served.,Food Quality,Spoilage/Poisoning,High,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2024-5269,STU-021,HST-073,Water not coming in bathroom since since yesterday.,Maintenance,Door/Window,Low,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-3193,STU-109,HST-019,Need permission to keep a bicycle inside.,Other,Curfew,Low,Review student request and respond within 48 hours.,Submitted
CMP-2026-3717,STU-096,HST-005,Security deposit not refunded after leaving.,Billing/Payment Dispute,Unexpected Fee,High,Review charges with account; provide receipt.,Submitted
CMP-2024-8921,STU-036,HST-070,Need a warmer blanket for winter.,Other,Suggestion,Low,Review student request and respond within 48 hours.,Acknowledged
CMP-2026-4387,STU-158,HST-071,Roommate smokes in the room.,Roommate Issue,Cleanliness,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2024-9542,STU-102,HST-018,No place to dry clothes inside.,Other,Room Change,High,Review student request and respond within 48 hours.,Acknowledged
CMP-2024-9465,STU-036,HST-046,CCTV camera not working near entrance.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,Acknowledged
CMP-2025-1108,STU-149,HST-064,Security guard often missing after 10 PM.,Safety/Security,Security Guard,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2024-4062,STU-195,HST-046,Need a warmer blanket for winter.,Other,Suggestion,Low,Review student request and respond within 48 hours.,Submitted
CMP-2024-8889,STU-105,HST-039,Oil used in cooking seems reused.,Food Quality,Hygiene,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-3639,STU-058,HST-018,Food bill is higher than agreed.,Billing/Payment Dispute,Deposit Refund,High,Review charges with account; provide receipt.,Submitted
CMP-2025-1305,STU-163,HST-072,Oil used in cooking seems reused.,Food Quality,Spoilage/Poisoning,High,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-3338,STU-124,HST-008,Security guard often missing after 10 PM.,Safety/Security,Theft,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2025-3166,STU-022,HST-049,Bread/chapati are undercooked.,Food Quality,Hygiene,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2024-8796,STU-085,HST-031,Cockroaches in Room 368.,Cleanliness,Room Cleaning,Low,Schedule housekeeping to clean the area immediately.,Acknowledged
CMP-2026-1019,STU-060,HST-052,Cupboard door off its hinges.,Maintenance,Door/Window,Medium,Assign technician to fix the issue within 24 hours.,Resolved
CMP-2025-7246,STU-153,HST-009,Staff enters room without knocking.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,Resolved
CMP-2024-5641,STU-071,HST-030,Roommate uses my phone charger without permission.,Roommate Issue,Cleanliness,Low,Mediate between roommates; offer room change if needed.,Resolved
CMP-2024-7144,STU-110,HST-060,Request for a separate study table.,Other,Curfew,Low,Review student request and respond within 48 hours.,Submitted
CMP-2025-5281,STU-050,HST-027,Door banging repeatedly.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Acknowledged
CMP-2026-8904,STU-184,HST-060,My mattress is too old and uncomfortable.,Other,Curfew,Low,Review student request and respond within 48 hours.,Submitted
CMP-2026-7522,STU-025,HST-038,Fruit provided is rotten.,Food Quality,Hygiene,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-1852,STU-175,HST-052,Very little chicken/vegetables served.,Food Quality,Spoilage/Poisoning,High,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2024-5310,STU-091,HST-050,Lunch rice was spoiled yesterday.,Food Quality,Portion Size,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-9536,STU-010,HST-033,My roommate plays loud music after 11 PM.,Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2026-5685,STU-156,HST-009,CCTV camera not working near entrance.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Acknowledged
CMP-2024-2422,STU-068,HST-024,Talking loudly in corridor after quiet hours.,Noise/Disturbance,Night Noise,Medium,Warn the noisy party and enforce quiet hours.,Acknowledged
CMP-2026-2124,STU-157,HST-010,Feeling unsafe due to unverified visitors.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-4187,STU-186,HST-058,Rats in the kitchen area.,Cleanliness,Common Area,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-5821,STU-054,HST-029,Charged for electricity even though it's included.,Billing/Payment Dispute,Deposit Refund,Medium,Review charges with account; provide receipt.,Submitted
CMP-2026-8923,STU-101,HST-072,Roommate brings food and leaves plates for days.,Roommate Issue,Cleanliness,Low,Mediate between roommates; offer room change if needed.,Resolved
CMP-2025-4610,STU-026,HST-049,People running and stomping upstairs.,Noise/Disturbance,Roommate Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-5706,STU-099,HST-043,TV volume too high in lounge.,Noise/Disturbance,Roommate Noise,High,Warn the noisy party and enforce quiet hours.,In Progress
CMP-2026-5408,STU-104,HST-050,Bathroom mirror and sink are never cleaned.,Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-5091,STU-183,HST-025,Canteen staff not wearing gloves.,Food Quality,Taste,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-1692,STU-113,HST-008,Roommate has guests late at night.,Roommate Issue,Noise,Low,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-5591,STU-049,HST-064,Double charged for this month's rent.,Billing/Payment Dispute,Deposit Refund,Medium,Review charges with account; provide receipt.,Resolved
CMP-2026-6689,STU-008,HST-039,Cleaner shouted at me for no reason.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-4452,STU-003,HST-008,Warden threatened to fine for a minor rule.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,Acknowledged
CMP-2025-8722,STU-141,HST-056,Staff enters room without knocking.,Staff Behavior,Warden,High,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-7563,STU-093,HST-041,My stuff used without asking.,Roommate Issue,Guests,Medium,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-5422,STU-041,HST-048,CCTV camera not working near entrance.,Safety/Security,Security Guard,Medium,Investigate immediately; if serious call police.,In Progress
CMP-2025-1159,STU-046,HST-069,TV volume too high in lounge.,Noise/Disturbance,External Noise,Low,Warn the noisy party and enforce quiet hours.,In Progress
CMP-2025-5915,STU-163,HST-053,Canteen staff not wearing gloves.,Food Quality,Portion Size,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-2577,STU-200,HST-003,My phone went missing from study room.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,In Progress
CMP-2025-6638,STU-097,HST-022,Double charged for this month's rent.,Billing/Payment Dispute,Unexpected Fee,Medium,Review charges with account; provide receipt.,Resolved
CMP-2026-9821,STU-063,HST-058,AC not cooling properly in Room 280.,Maintenance,Furniture,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-7243,STU-015,HST-068,"Repeatedly same menu, no variety.",Food Quality,Hygiene,Medium,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2025-2168,STU-082,HST-029,CCTV camera not working near entrance.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Acknowledged
CMP-2026-7479,STU-187,HST-068,Bathroom mirror and sink are never cleaned.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2024-3048,STU-012,HST-009,Feeling unsafe due to unverified visitors.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-9985,STU-036,HST-068,"Party in neighboring room, can't sleep.",Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2026-7387,STU-127,HST-042,"Geyser not working, no hot water.",Maintenance,Plumbing,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-1575,STU-066,HST-010,Security guard often missing after 10 PM.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,In Progress
CMP-2026-9835,STU-056,HST-052,Roommate's friends hang out in our room all the time.,Roommate Issue,Guests,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-4721,STU-128,HST-067,Oil used in cooking seems reused.,Food Quality,Portion Size,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-3233,STU-173,HST-072,"Mosquitoes everywhere, no nets provided.",Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-8052,STU-038,HST-070,Roommate's friends hang out in our room all the time.,Roommate Issue,Guests,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-5094,STU-008,HST-057,My laptop was stolen from room.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-5454,STU-078,HST-064,Hair found in food twice this week.,Food Quality,Portion Size,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-8418,STU-107,HST-024,My phone went missing from study room.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,Submitted
CMP-2024-2675,STU-084,HST-010,Security guard often missing after 10 PM.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-4558,STU-061,HST-044,CCTV camera not working near entrance.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,Submitted
CMP-2024-3393,STU-109,HST-018,Roommate brings food and leaves plates for days.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-7251,STU-002,HST-039,"Geyser not working, no hot water.",Maintenance,AC,High,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2025-2539,STU-183,HST-025,"Window latch broken, cannot close properly.",Maintenance,Plumbing,Low,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-1691,STU-025,HST-016,Need a warmer blanket for winter.,Other,Suggestion,Low,Review student request and respond within 48 hours.,Submitted
CMP-2026-4568,STU-101,HST-065,Request for a separate study table.,Other,General,Medium,Review student request and respond within 48 hours.,In Progress
CMP-2025-4982,STU-024,HST-051,"Floor has sticky stains, not mopped properly.",Cleanliness,Bathroom,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-3583,STU-155,HST-003,Water leakage from ceiling during rain.,Maintenance,Plumbing,High,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2024-3061,STU-014,HST-044,Double charged for this month's rent.,Billing/Payment Dispute,Overcharging,Medium,Review charges with account; provide receipt.,In Progress
CMP-2024-1349,STU-192,HST-067,Double charged for this month's rent.,Billing/Payment Dispute,Overcharging,Low,Review charges with account; provide receipt.,Submitted
CMP-2026-9029,STU-122,HST-009,Cleaner shouted at me for no reason.,Staff Behavior,Cleaner,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2026-3627,STU-131,HST-004,Construction noise from next building all day.,Noise/Disturbance,External Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2026-9289,STU-067,HST-031,Bedsheets not changed for two weeks.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-7348,STU-147,HST-053,Warden is very rude when approached.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-2809,STU-158,HST-039,People running and stomping upstairs.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-1521,STU-181,HST-049,Room not cleaned for 1 days.,Cleanliness,Room Cleaning,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-9051,STU-164,HST-013,Warden doesn't listen to complaints.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-5355,STU-068,HST-022,Room not cleaned for 4 days.,Cleanliness,Pest Control,Low,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2026-4784,STU-160,HST-016,I want to change my room.,Other,General,Low,Review student request and respond within 48 hours.,Submitted
CMP-2026-7802,STU-190,HST-041,Internet quota exhausted too quickly.,Other,Curfew,Low,Review student request and respond within 48 hours.,Resolved
CMP-2026-6529,STU-100,HST-059,Bedsheets not changed for two weeks.,Cleanliness,Common Area,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-8054,STU-082,HST-015,"Repeatedly same menu, no variety.",Food Quality,Portion Size,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-1003,STU-163,HST-062,Roommate smokes in the room.,Roommate Issue,Noise,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-4635,STU-169,HST-069,Water leakage from ceiling during rain.,Maintenance,AC,Low,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-2544,STU-048,HST-040,Students shouting late at night in common room.,Noise/Disturbance,Roommate Noise,Medium,Warn the noisy party and enforce quiet hours.,Resolved
CMP-2024-5198,STU-098,HST-030,Tiles cracked in common washroom.,Maintenance,Furniture,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-8999,STU-058,HST-009,My phone went missing from study room.,Safety/Security,Theft,Medium,Investigate immediately; if serious call police.,In Progress
CMP-2025-6700,STU-188,HST-027,Room not cleaned for 1 days.,Cleanliness,Common Area,Low,Schedule housekeeping to clean the area immediately.,Resolved
CMP-2026-7266,STU-171,HST-052,Cook refuses to serve extra roti.,Staff Behavior,Security,Low,Counsel the staff member; involve owner if repeated.,Acknowledged
CMP-2026-4617,STU-010,HST-036,Cupboard door off its hinges.,Maintenance,AC,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-7460,STU-077,HST-055,Hair found in food twice this week.,Food Quality,Spoilage/Poisoning,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-2393,STU-199,HST-042,"Repeatedly same menu, no variety.",Food Quality,Taste,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-4212,STU-081,HST-053,Cleaner shouted at me for no reason.,Staff Behavior,Security,High,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-2843,STU-196,HST-020,Internet quota exhausted too quickly.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,Resolved
CMP-2025-3773,STU-146,HST-033,Staff enters room without knocking.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,Acknowledged
CMP-2026-2405,STU-121,HST-014,My stuff used without asking.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-8373,STU-166,HST-017,Cockroaches in Room 176.,Cleanliness,Room Cleaning,Medium,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2025-9991,STU-036,HST-060,Double charged for this month's rent.,Billing/Payment Dispute,Overcharging,High,Review charges with account; provide receipt.,Submitted
CMP-2025-3790,STU-145,HST-019,Unexplained deduction from rent.,Billing/Payment Dispute,Unexpected Fee,Low,Review charges with account; provide receipt.,Submitted
CMP-2025-5445,STU-076,HST-009,"Window latch broken, cannot close properly.",Maintenance,AC,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-2631,STU-055,HST-061,My roommate never cleans his side.,Roommate Issue,Cleanliness,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-1352,STU-021,HST-063,Roommate has guests late at night.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-6765,STU-133,HST-034,Cupboard door off its hinges.,Maintenance,Electrical,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-5590,STU-044,HST-050,Roommate smokes in the room.,Roommate Issue,Guests,Low,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-4726,STU-133,HST-034,Door banging repeatedly.,Noise/Disturbance,Night Noise,High,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-3270,STU-171,HST-065,Cleaner shouted at me for no reason.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-3589,STU-200,HST-036,Need permission to keep a bicycle inside.,Other,Suggestion,Low,Review student request and respond within 48 hours.,Submitted
CMP-2025-7737,STU-012,HST-025,Roommate has guests late at night.,Roommate Issue,Cleanliness,Low,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-5372,STU-028,HST-019,Gate left unlocked at night.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-3196,STU-141,HST-040,Talking loudly in corridor after quiet hours.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Acknowledged
CMP-2024-1528,STU-141,HST-049,My mattress is too old and uncomfortable.,Other,Curfew,Low,Review student request and respond within 48 hours.,Submitted
CMP-2025-9027,STU-179,HST-029,Warden doesn't listen to complaints.,Staff Behavior,Warden,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2026-6126,STU-114,HST-060,Roommate smokes in the room.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-7481,STU-081,HST-064,Cook refuses to serve extra roti.,Staff Behavior,Warden,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-5684,STU-114,HST-060,"Geyser not working, no hot water.",Maintenance,Door/Window,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-8400,STU-198,HST-039,Amount taken but no receipt provided.,Billing/Payment Dispute,Overcharging,Medium,Review charges with account; provide receipt.,Resolved
CMP-2025-1408,STU-113,HST-036,Common washroom is very dirty and smelly.,Cleanliness,Room Cleaning,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-3686,STU-081,HST-054,Oil used in cooking seems reused.,Food Quality,Portion Size,High,Inspect kitchen and food storage; check hygiene.,Acknowledged
CMP-2026-9383,STU-053,HST-009,Dustbins overflowing near corridor.,Cleanliness,Room Cleaning,High,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2026-3459,STU-004,HST-044,Fruit provided is rotten.,Food Quality,Portion Size,Low,Inspect kitchen and food storage; check hygiene.,Submitted
